type,url,slug,new_description,char_len,reason,gsc_clicks
article,https://www.thethreedrinkers.com/magazine-content/beverly-hills-hotel-los-angeles,beverly-hills-hotel-los-angeles,Calling all Los Angeles travellers seeking a Hollywood-worthy spot to stay without feeling like the chaos of the city is hindering your chance at a relaxing.,157,auto-truncated,0
article,https://www.thethreedrinkers.com/magazine-content/beyond-the-super-tuscans-a-fresh-look-at-armit-wines,beyond-the-super-tuscans-a-fresh-look-at-armit-wines,"The Three Drinkers headed to the first portfolio tasting in years of wine merchant Armit, famed for its stunning Italian wine agencies like Sassicaia and.",154,auto-truncated,0
article,https://www.thethreedrinkers.com/magazine-content/blockchain-nfts-and-wine-crurated-fine-wine-revolution,blockchain-nfts-and-wine-crurated-fine-wine-revolution,Crurated is a forward-thinking company that has captured our attention since launching in the spring of 2021.,109,auto-truncated,0
article,https://www.thethreedrinkers.com/magazine-content/bodegas-hispano-suizas-the-spanish-winery-you-need-to-know,bodegas-hispano-suizas-the-spanish-winery-you-need-to-know,"Nestled in the picturesque Utiel-Requena region of Spain, Bodegas Hispano+Suizas is a testament to the dreams and dedication of three passionate individuals.",157,auto-truncated,0
article,https://www.thethreedrinkers.com/magazine-content/borgo-pignano-volterra,borgo-pignano-volterra,About an hour's drive from the bustling city centre of Florence - its touristy streets and crowded train station behind you - through the vineyard of the.,154,auto-truncated,0
article,https://www.thethreedrinkers.com/magazine-content/boxed-wines-perfect-for-christmas,boxed-wines-perfect-for-christmas,"Long gone is the reputation of boxed wines as vinegary hangover juice, so if you’re not already a convert then keep reading!",124,auto-truncated,0
article,https://www.thethreedrinkers.com/magazine-content/brewdog-beer-hotel,brewdog-beer-hotel,"The rooms feature a myriad of incredible pieces, including Brewdog branded bathrobes, funky neon lights, stylish furniture, comfy beds, bluetooth speakers and.",159,auto-truncated,0
article,https://www.thethreedrinkers.com/magazine-content/brilliant-rye-whiskies-from-europe,brilliant-rye-whiskies-from-europe,"Over the last few years, there has been a huge rise in the popularity of rye whisky. Not only from the USA but from all over the world.",135,auto-truncated,0
article,https://www.thethreedrinkers.com/magazine-content/bring-a-bottle-john-rempe-master-distiller-at-lux-distillers,bring-a-bottle-john-rempe-master-distiller-at-lux-distillers,"(audio only)  The Three Drinkers take 5 with John Rempe, master distiller at Lux Row Distillers and a glass of Rebel Yell Bourbon.",130,auto-truncated,0
article,https://www.thethreedrinkers.com/magazine-content/bring-a-bottle-podcast-episode-101,bring-a-bottle-podcast-episode-101,"It’s Bring a Bottle Podcast Episode 101 and with us in the studio this week is Jack Charlton, Head of Brand Ambassadors for Remy Cointreau in the UK!",149,auto-truncated,0
article,https://www.thethreedrinkers.com/magazine-content/bring-a-bottle-podcast-episode-79,bring-a-bottle-podcast-episode-79,We’re back with another fun-filled podcast and this time it’s a Medoc wine special!,83,auto-truncated,0
article,https://www.thethreedrinkers.com/magazine-content/bring-a-bottle-podcast-episode-82,bring-a-bottle-podcast-episode-82,"Another week, another exciting episode of the Bring a Bottle podcast to listen in to!",85,auto-truncated,0
article,https://www.thethreedrinkers.com/magazine-content/bring-a-bottle-podcast-episode-83,bring-a-bottle-podcast-episode-83,"Whether it be the best crisps to pair with your champagne, beer that tastes like chardonnay, stunning mixers for your vodka or £5 wine that tastes decent.",154,auto-truncated,0
article,https://www.thethreedrinkers.com/magazine-content/bring-a-bottle-podcast-episode-85,bring-a-bottle-podcast-episode-85,"Another week, another fun-filled podcast to listen to! This week we discover two gorgeous Californian wines from Talbott Vineyard, chat about why playing music.",160,auto-truncated,0
article,https://www.thethreedrinkers.com/magazine-content/bring-a-bottle-podcast-episode-88,bring-a-bottle-podcast-episode-88,It's time for Episode 88 of the Bring a Bottle Podcast! Listen in as Aidy and his two guests Amanda Selby and Keiligh Baker tell you all about a cocktail hack.,159,auto-truncated,0
article,https://www.thethreedrinkers.com/magazine-content/bring-a-bottle-podcast-episode-89,bring-a-bottle-podcast-episode-89,"Whether it be stunning wine from Côtes de Bordeaux, Duran Duran’s guilty pleasure, a very moreish summer cup, or the best wine to pair with duck and hoisin.",156,auto-truncated,0
article,https://www.thethreedrinkers.com/magazine-content/bring-a-bottle-podcast-episode-91,bring-a-bottle-podcast-episode-91,"Good morning or good afternoon wherever you are! In this week’s Bring a Bottle Podcast, we cover stylish sodas from a Victorian brand, TikTok chili trends, the.",160,auto-truncated,0
article,https://www.thethreedrinkers.com/magazine-content/bring-a-bottle-podcast-episode-92,bring-a-bottle-podcast-episode-92,"Aloha drinkers! It’s time for a brand new Bring a Bottle Podcast, and it’s jampacked with knowledge and experience this week.",125,auto-truncated,0
article,https://www.thethreedrinkers.com/magazine-content/bring-a-bottle-podcast-episode-93,bring-a-bottle-podcast-episode-93,Have you heard of Crémant? Made in exactly the same way as Champagne but with decent bottles available for under £10 – you are going to want to listen in to.,157,auto-truncated,0
article,https://www.thethreedrinkers.com/magazine-content/bring-a-bottle-podcast-episode-94,bring-a-bottle-podcast-episode-94,We’re back with a brand new Bring a Bottle Podcast and Aidy is joined by a wine wizard and spirit sage to sip one of the most magical Speyside whiskies going.,158,auto-truncated,0
article,https://www.thethreedrinkers.com/magazine-content/bring-a-bottle-podcast-episode-95,bring-a-bottle-podcast-episode-95,"In Bring a Bottle Podcast Episode 95, Helena is joined by the fabulous founder of, ‘All Things Drinks’, Dimple Athavia.",119,auto-truncated,0
article,https://www.thethreedrinkers.com/magazine-content/bring-a-bottle-podcast-episode-96,bring-a-bottle-podcast-episode-96,"Episode 96 of the Bring a Bottle podcast is out now! There’s perfect bonfire booze, vegan OatNog, the new Monopoly game that could be the source of.",148,auto-truncated,0
article,https://www.thethreedrinkers.com/magazine-content/bring-a-bottle-podcast-episode-97,bring-a-bottle-podcast-episode-97,"You can listen to Episode 97 of the Bring a Bottle Podcast now! Joining Helena is Jason Myers, a hospitality king who travels the world seeking out amazing.",156,auto-truncated,0
article,https://www.thethreedrinkers.com/magazine-content/bring-a-bottle-podcast-episode-98,bring-a-bottle-podcast-episode-98,"Episode 98 is here and this week Alex Layton joins Aidy in the studio as we continue our Bruichladdich journey, try the ultimate ‘Christmas in a glass’.",152,auto-truncated,0
article,https://www.thethreedrinkers.com/magazine-content/bring-a-bottle-podcast-episode-99,bring-a-bottle-podcast-episode-99,"Episode 99 welcomes back a familiar face from a couple of episodes ago, and that’s Jason Myers!",95,auto-truncated,0
article,https://www.thethreedrinkers.com/magazine-content/bruichladdich-goes-old-skool-for-its-25th-birthday,bruichladdich-goes-old-skool-for-its-25th-birthday,Anniversaries in whisky tend to come wrapped in reverence. Old photographs. Long speeches. A gentle nod to the past before business carries on as usual.,152,auto-truncated,0
article,https://www.thethreedrinkers.com/magazine-content/burns-night-at-dukes-hotel,burns-night-at-dukes-hotel,"“Fair fa' your honest, sonsie face, Great chieftain o the puddin'-race!”  In case your Gaelic isn’t as fluent as mine, a translate of the rousing opening lines.",160,auto-truncated,0
article,https://www.thethreedrinkers.com/magazine-content/bushmills-the-causeway-collection-1991-madeira-cask-irish-whiske,bushmills-the-causeway-collection-1991-madeira-cask-irish-whiske,"My grandfather and generations of his family were born and raised in Northern Ireland, a stone’s throw from the Giant’s Causeway on the North Antrim coast, the.",160,auto-truncated,0
article,https://www.thethreedrinkers.com/magazine-content/bushmills-whiskey-alex-thomas,bushmills-whiskey-alex-thomas,"Bushmills has big ambitions to become the biggest Irish whiskey in the world. Now they know this takes time and effort, and that time and effort has to start.",158,auto-truncated,0
article,https://www.thethreedrinkers.com/magazine-content/byron-burger-pickle-beer,byron-burger-pickle-beer,"In recent years we’ve seen Aunt Bessie’s Jam Roly Poly beer, Warburton’s crumpet beer and even Seabrook Crisps’ Prawn Cocktail flavoured beer so naturally when.",160,auto-truncated,0
article,https://www.thethreedrinkers.com/magazine-content/camden-town-brewery-launch-marmite-ale,camden-town-brewery-launch-marmite-ale,"So… Do you love it? Or… Do you hate it? That’s probably a question you’re tired of being asked about Marmite, especially since there’s always one friend who.",157,auto-truncated,0
article,https://www.thethreedrinkers.com/magazine-content/camomile-garden,camomile-garden,Ingredients:   50ml Silent Pool Gin 25ml honey water Top with Fever Tree Indian Tonic Spritz camomile aromatics  Method:  Fill the glass with plenty of ice.,156,auto-truncated,0
article,https://www.thethreedrinkers.com/magazine-content/can-music-make-wine-taste-better,can-music-make-wine-taste-better,"Music: A simple, yet incredibly complex pleasure with the power to alter our emotions and even change the way we perceive things.",129,auto-truncated,0
article,https://www.thethreedrinkers.com/magazine-content/can-wine-fight-covid-coronavirus,can-wine-fight-covid-coronavirus,"Red wine lovers, take note! Recent medical research coming out of Taiwan suggests that a component found in red wine could be effective in fighting Covid-19.",157,auto-truncated,0
article,https://www.thethreedrinkers.com/magazine-content/caorunn-gin-christmas-pudding-recipe-sven-hanson-britt,caorunn-gin-christmas-pudding-recipe-sven-hanson-britt,"Here at 3DHQ, we are firm believers that Christmas is not Christmas without the following two things: brussel sprouts (don’t shoot us!) and a yummy Christmas.",158,auto-truncated,0
article,https://www.thethreedrinkers.com/magazine-content/caractre-where-every-bite-has-a-personality,caractre-where-every-bite-has-a-personality,"At Caractère in Notting Hill, the menu encourages curiosity. Each dish is a “character” of flavour and mood, designed for you to explore rather than follow a.",158,auto-truncated,0
article,https://www.thethreedrinkers.com/magazine-content/carinena-grape-guide-best-wines-grandes-vinos,carinena-grape-guide-best-wines-grandes-vinos,"Carignan, also known as Cariñena, Carinyena, Carignane, Carignano, Samsó, Mazuelo and more is a grape that hails from Aragón within the region of Cariñena in.",158,auto-truncated,0
article,https://www.thethreedrinkers.com/magazine-content/carinena-grape-guide-grandes-vinos,carinena-grape-guide-grandes-vinos,"Carignan, also known as Cariñena, Carinyena, Carignane, Carignano, Samsó, Mazuelo and more is a grape that hails from Aragón within the region of Cariñena in.",158,auto-truncated,0
article,https://www.thethreedrinkers.com/magazine-content/carmenere-best-wines-food-pairing-tasting,carmenere-best-wines-food-pairing-tasting,"Carmenère is a red grape that has really upped its game in the last few years. Fans of Cabernet Sauvignon will appreciate its similar, brooding, blackcurrant.",158,auto-truncated,0
article,https://www.thethreedrinkers.com/magazine-content/cbd-drinks,cbd-drinks,CBD infused drinks seem to be all the rage right now with more and more popping up all the time.,96,auto-truncated,0
article,https://www.thethreedrinkers.com/magazine-content/champagne-shortage-feared-at-christmas,champagne-shortage-feared-at-christmas,"Take a deep breath and grab a chair, you might want to sit down before we tell you this…  Though it pains us to an excruciating degree to break the news, it’s.",159,auto-truncated,0
article,https://www.thethreedrinkers.com/magazine-content/champion-brewing-company-family-recipe-beer-mayonnaise,champion-brewing-company-family-recipe-beer-mayonnaise,"Planning on breaking out a jar of mayo and going straight in with a spoon? Well, do we have the drink for you!",110,auto-truncated,0
article,https://www.thethreedrinkers.com/magazine-content/chardonnay-styles,chardonnay-styles,Weren’t there always at least four people in your class with the same first name at school?,91,auto-truncated,0
article,https://www.thethreedrinkers.com/magazine-content/cheese-onion-prawn-cocktail-seabrook-crisp-beer,cheese-onion-prawn-cocktail-seabrook-crisp-beer,"Coming from Yorkshire and having grown up mere streets away from the Seabrook factory, it was hard not to get excited about this bit of news: ‘Leeds-based.",155,auto-truncated,0
article,https://www.thethreedrinkers.com/magazine-content/chivas-regal-distilleries-strathisla-strathclyde-longbourn-glenkeith-braeval,chivas-regal-distilleries-strathisla-strathclyde-longbourn-glenkeith-braeval,"Every now and again there are single cask, cask strength bottles created by Chivas to show off their single malt distilleries and these are sold in their shop.",159,auto-truncated,0
article,https://www.thethreedrinkers.com/magazine-content/choosing-refreshing-perfumes-for-party-settings,choosing-refreshing-perfumes-for-party-settings,Selecting the perfect perfume for a party involves balancing the need for a scent that stands out without overwhelming the senses of those around you.,150,auto-truncated,0
article,https://www.thethreedrinkers.com/magazine-content/christinas-shoreditch,christinas-shoreditch,"In the heart of Shoreditch is Christina’s; a luxurious bar on the ground floor of the Mondrian Hotel and with their new cocktail menu, it should be at the top.",159,auto-truncated,0
article,https://www.thethreedrinkers.com/magazine-content/clarendelles-oscars-moment,clarendelles-oscars-moment,"There's a moment at every Oscars ceremony, usually somewhere between the third acceptance speech and the fourth round of canapés, when someone at the Governors.",160,auto-truncated,0
article,https://www.thethreedrinkers.com/magazine-content/classic-champagne-styles-for-spring,classic-champagne-styles-for-spring,"To celebrate the official launch of talkTV, we’re going all out with a Champagne tasting!",89,auto-truncated,0
article,https://www.thethreedrinkers.com/magazine-content/classic-cheese-and-wine-matches,classic-cheese-and-wine-matches,It’s that time of year when we put together a mega cheeseboard and pick at it ALL DAY! For several days.,104,auto-truncated,0
article,https://www.thethreedrinkers.com/magazine-content/clover-club-cocktail,clover-club-cocktail,"A classic cocktail that has been around since at least the 1910s, the Clover Club Cocktail is rich, silky and has a wonderful balance of sweet and sour.",152,auto-truncated,0
article,https://www.thethreedrinkers.com/magazine-content/cocktail-squad-cocktail-can,cocktail-squad-cocktail-can,"There is a long history of companies trying to make cocktails in a can and, up to now, there have been varying results.",119,auto-truncated,0
article,https://www.thethreedrinkers.com/magazine-content/cocktails-delivered-sociovino-delivered-by-astrum,cocktails-delivered-sociovino-delivered-by-astrum,"Cocktails: you’re either a lover or a hater. If you’re anything like me, you’ll love the idea of making one but when it comes down to it, you’re either missing.",160,auto-truncated,0
article,https://www.thethreedrinkers.com/magazine-content/cocktails-that-scream-i-love-you-for-valentines-day,cocktails-that-scream-i-love-you-for-valentines-day,"You might love it, you might hate it, but Valentine’s Day is just around the corner, so whether you’re on course for a Valentine’s, a Galentine’s or posting a.",159,auto-truncated,0
article,https://www.thethreedrinkers.com/magazine-content/cognac-cocktail-holiday-spritz-cocktail-courvoisier,cognac-cocktail-holiday-spritz-cocktail-courvoisier,"Fancy trying your hand at some more cocktails? Then, make sure you check out our White Russian and Apple Pie cocktails.",119,auto-truncated,0
article,https://www.thethreedrinkers.com/magazine-content/coravin-moment-app-wine-gadget,coravin-moment-app-wine-gadget,"In every bottle of wine there is a story. Sometimes it reads like a comic book and other times like War and Peace, yet there is a time and place for every.",155,auto-truncated,0
article,https://www.thethreedrinkers.com/magazine-content/could-this-be-the-most-enjoyable-way-into-modern-greek-wine,could-this-be-the-most-enjoyable-way-into-modern-greek-wine,"Greek wine is in a very good place right now. Vineyards are better tended, winemaking is more precise, and confidence in indigenous grapes has never been.",154,auto-truncated,0
article,https://www.thethreedrinkers.com/magazine-content/crabbies-colada-whisky-cocktail-recipe,crabbies-colada-whisky-cocktail-recipe,"On the Bring a Bottle Podcast this week (episode 40), Aidy mixed up a storm with his Crabbie’s Colada: a twist on a Pina Colada using Crabbie’s Yardhead.",153,auto-truncated,0
article,https://www.thethreedrinkers.com/magazine-content/cuba-top-rum-2020,cuba-top-rum-2020,"There is no finer place to drink rum than Havana, Cuba’s splendid capital. Whether you want to try it, buy it or learn more about it, Colin has found you the.",158,auto-truncated,0
article,https://www.thethreedrinkers.com/magazine-content/daiquiri-cocktail,daiquiri-cocktail,"Often misunderstood as an overly sweet alcoholic slushy, when made well, a Daiquiri is quite literally a simple stunner that really should be given a second.",157,auto-truncated,0
article,https://www.thethreedrinkers.com/magazine-content/decanter-fine-wine-encounter-manhattan,decanter-fine-wine-encounter-manhattan,"Picture this. You're sixty floors above Manhattan, a glass of something extraordinary in hand, and the person who made it is standing three feet away, telling.",159,auto-truncated,0
article,https://www.thethreedrinkers.com/magazine-content/delicious-cuban-rum-eminente-cubana,delicious-cuban-rum-eminente-cubana,"Rum it seems is finally having its day. We see more and more rum brands on the shelves of our supermarkets, and even more being offered by specialist.",150,auto-truncated,0
article,https://www.thethreedrinkers.com/magazine-content/delicious-gins-for-gin-and-tonic,delicious-gins-for-gin-and-tonic,"Spring is at last upon us, the days are getting longer, the weather is getting warmer and a G&T in the garden is becoming a more and more appealing thought.",156,auto-truncated,0
article,https://www.thethreedrinkers.com/magazine-content/delicious-vodka-lockdown-vodka,delicious-vodka-lockdown-vodka,"Ah, Lockdown 2.0. It seems the inevitable is upon us. Alas, all we can do is try and keep our spirits high, drink less but better and crack on with it.",151,auto-truncated,0
article,https://www.thethreedrinkers.com/magazine-content/diageo-unlocks-scotlands-most-extraordinary-whisky-vaults,diageo-unlocks-scotlands-most-extraordinary-whisky-vaults,"Somewhere in Scotland, in warehouses that most people will never see, time has been doing something extraordinary.",114,auto-truncated,0
article,https://www.thethreedrinkers.com/magazine-content/dimas-vodka-excellence-in-a-bottle,dimas-vodka-excellence-in-a-bottle,"I judge spirits for the IWSC including vodka. Technically speaking, a vodka should get a high score if it is clean and clear meaning there is very little.",154,auto-truncated,0
article,https://www.thethreedrinkers.com/magazine-content/dining-al-fresco-in-london-heres-where-to-go-this-spring,dining-al-fresco-in-london-heres-where-to-go-this-spring,"Spring in London operates on a very particular logic. The moment the sun stays out past 4 pm, every restaurant with an outdoor seat becomes the most important.",159,auto-truncated,0
article,https://www.thethreedrinkers.com/magazine-content/dinner-by-heston,dinner-by-heston,Deciding this restaurants name came with a bit of research and originality stemming from not only the word but also what they serve.,132,auto-truncated,0
article,https://www.thethreedrinkers.com/magazine-content/diplomtico-chancellor-the-rum-that-asks-you-to-slow-down,diplomtico-chancellor-the-rum-that-asks-you-to-slow-down,"There are bottles you buy to drink, and bottles you buy to own. Diplomático Chancellor is, unambiguously, both, but it earns that distinction in a way that.",156,auto-truncated,0
article,https://www.thethreedrinkers.com/magazine-content/do-rueda-wine-region-spain-best-wines,do-rueda-wine-region-spain-best-wines,"With all eyes back on Spain for deliciously versatile and food friendly wines that can also dazzle at the top end, we look to DO Rueda to see what’s new and.",157,auto-truncated,0
article,https://www.thethreedrinkers.com/magazine-content/dr-pepper-new-bourbon-flavour-drink,dr-pepper-new-bourbon-flavour-drink,"Whiskey purists among you may deem it blasphemous to mix such a complex concoction with Dr Pepper, but there are many that do.",126,auto-truncated,0
article,https://www.thethreedrinkers.com/magazine-content/dram5-best-fathers-day-whisky-gift-blindbox,dram5-best-fathers-day-whisky-gift-blindbox,"Most whisky gifts follow the same script: pick a bottle you know he'll recognise, wrap it nicely, job done.",107,auto-truncated,0
article,https://www.thethreedrinkers.com/magazine-content/drink-a-new-cocktail-book-by-kurt-maitland,drink-a-new-cocktail-book-by-kurt-maitland,"There are myriad cocktail books, past and new. Most of them are pretty good, but there is one which stands out beyond the others as the most comprehensive book.",160,auto-truncated,0
article,https://www.thethreedrinkers.com/magazine-content/drinker-discoveries-helena-gift-guide-best-wine-spirits-gadgets,drinker-discoveries-helena-gift-guide-best-wine-spirits-gadgets,"At The Three Drinkers, we are lucky enough to receive various samples of new drinks and lifestyle products over time.",117,auto-truncated,0
article,https://www.thethreedrinkers.com/magazine-content/drinker-discoveries-mead-bitters-handsanitiser-best-drinks-products-gift-guide,drinker-discoveries-mead-bitters-handsanitiser-best-drinks-products-gift-guide,"A The Three Drinkers, we love all things drinky, be they wine, beer or spirits-related, no and low drinks, bitters or even gadgets and lifestyle products.",154,auto-truncated,0
article,https://www.thethreedrinkers.com/magazine-content/drinker-discoveries-six-sips-for-a-sizzling-summer,drinker-discoveries-six-sips-for-a-sizzling-summer,"We’re lucky enough to taste all kinds of drinks given what we do and in Drinker Discoveries, we pick the best of the bunch.",123,auto-truncated,0
article,https://www.thethreedrinkers.com/magazine-content/drinks-retailers-delivering-during-lockdown,drinks-retailers-delivering-during-lockdown,"This week, several friends have asked us to find out which merchants would deliver booze to them as Majestic are overrun.",121,auto-truncated,0
article,https://www.thethreedrinkers.com/magazine-content/drinky-desserts-sweet-wine-styles-cocktails-sweet-wines-for-cocktails,drinky-desserts-sweet-wine-styles-cocktails-sweet-wines-for-cocktails,"No longer relegated to the ‘what do I do with this?’ cupboard or have a capful for cooking and the rest left to gather dust, no no no.",134,auto-truncated,0
article,https://www.thethreedrinkers.com/magazine-content/eagle-rare-30-the-bottle-that-changes-what-bourbon-can-be,eagle-rare-30-the-bottle-that-changes-what-bourbon-can-be,Here's something bourbon drinkers rarely get to say with a straight face: this one actually needed every one of those years.,124,auto-truncated,0
article,https://www.thethreedrinkers.com/magazine-content/easy-whisky-cocktails-scotch-whisky-whiskey-cocktails,easy-whisky-cocktails-scotch-whisky-whiskey-cocktails,"As we raise a toast to Robert Burns this January 25th, our friends at drinks retailer Bottle Club have compiled their most popular Scotch whisky cocktail.",154,auto-truncated,0
article,https://www.thethreedrinkers.com/magazine-content/el-tequileno-tequila-from-margarita-magic-to-gran-reserva-greatness,el-tequileno-tequila-from-margarita-magic-to-gran-reserva-greatness,"In the world of tequila, heritage, place, and people matter. And few brands bring all three together quite like El Tequileño.",125,auto-truncated,0
article,https://www.thethreedrinkers.com/magazine-content/england-in-a-glass-why-fielden-rye-whisky-starts-in-the-soil,england-in-a-glass-why-fielden-rye-whisky-starts-in-the-soil,"Ask most people where good whisky comes from, and you'll get a geography lesson: Scotland, Ireland, Kentucky, Japan. England doesn't usually make the list.",155,auto-truncated,0
article,https://www.thethreedrinkers.com/magazine-content/english-sparkling-wine-to-celebrate-the-jubilee,english-sparkling-wine-to-celebrate-the-jubilee,"With the Platinum Jubilee around the corner, it feels ridiculous to reach for Champagne when we have properly world class fizz on our doorsteps.",144,auto-truncated,0
article,https://www.thethreedrinkers.com/magazine-content/english-wine-in-focus-charles-palmer-pinot-noir-2018,english-wine-in-focus-charles-palmer-pinot-noir-2018,Grape:    100% Pinot Noir    ABV:   12.5%    Price:   £22  This elegant Pinot Noir is full of fruit but soft as anything and so light on its feet at only.,154,auto-truncated,0
article,https://www.thethreedrinkers.com/magazine-content/experimental-whisky,experimental-whisky,It’s a common belief amongst those that know a little about whisky that the regulations governing the production of Scotch are too conservative.,144,auto-truncated,0
article,https://www.thethreedrinkers.com/magazine-content/exploring-the-perfect-cocktails-to-elevate-your-roulette-night,exploring-the-perfect-cocktails-to-elevate-your-roulette-night,Imagine this: you’re having fun with your friends playing roulette with a delicious drink in hand.,98,auto-truncated,0
article,https://www.thethreedrinkers.com/magazine-content/famous-japanese-drinks-sake-umeshu,famous-japanese-drinks-sake-umeshu,"This week on The Thursday Club with Mike Graham on Talk Radio, it’s a Japanese special to celebrate our Olympic wins!",117,auto-truncated,0
article,https://www.thethreedrinkers.com/magazine-content/father-day-gift-ideas-drinks-whisky-wine-beer-rum-gin,father-day-gift-ideas-drinks-whisky-wine-beer-rum-gin,Every dad is different as is every son or daughter. What can you give him that showcases his personality or yours?,114,auto-truncated,0
article,https://www.thethreedrinkers.com/magazine-content/festive-pudding-and-cheese-pairings-vanessa-feltz-talktv,festive-pudding-and-cheese-pairings-vanessa-feltz-talktv,Sweet treats and cheese can provide matches made in heaven or completely the opposite if you get them wrong.,108,auto-truncated,0
article,https://www.thethreedrinkers.com/magazine-content/fifty-pounds-gin,fifty-pounds-gin,"Incredibly versatile, this is a classic, London dry gin, yet it has a seductive viscosity and balanced aromas that means you could sip it by itself if you so.",158,auto-truncated,0
article,https://www.thethreedrinkers.com/magazine-content/five-beers-one-brewery-no-two-alike,five-beers-one-brewery-no-two-alike,"There's a moment every beer drinker knows: You're standing in front of a fridge packed with cans, and nothing quite calls to you. Too samey. Too safe.",150,auto-truncated,0
article,https://www.thethreedrinkers.com/magazine-content/food-paring-chocolate-and-drinks,food-paring-chocolate-and-drinks,"In the lead up to Easter, we’ve been matching some of our favourite drinks with chocolate, where each benefits the other. This is no mean feat.",143,auto-truncated,0
article,https://www.thethreedrinkers.com/magazine-content/four-seasons-formentor,four-seasons-formentor,We waved goodbye to the busy streets of Palma de Mallorca and began our cross-island track to the north-easternmost part of Mallorca – Formentor - a location.,158,auto-truncated,0
article,https://www.thethreedrinkers.com/magazine-content/fungtn-mushroom-beer,fungtn-mushroom-beer,"There’s a new fungi in town who’s truly the life of the party. Brought to you by The Fungitional Brew Company, Fungtn is their debut line of a trio of 0.5% ABV.",160,auto-truncated,0
article,https://www.thethreedrinkers.com/magazine-content/gin-cheesecake-recipe-gin-day,gin-cheesecake-recipe-gin-day,"With World Gin Day 2020 happening on the 13th June, our thoughts are turning to the juniper-scented deliciousness of Gin and various ways of enjoying it.",153,auto-truncated,0
article,https://www.thethreedrinkers.com/magazine-content/ginache-grenache-gin,ginache-grenache-gin,Fresh out from McLaren Vales’ Chalk Hill Wines is this rather curiosity-piquing new gin.,88,auto-truncated,0
article,https://www.thethreedrinkers.com/magazine-content/glencairn-crystal-is-this-the-ultimate-whisky-tasting-glass,glencairn-crystal-is-this-the-ultimate-whisky-tasting-glass,"We certainly think so and here’s why...  When you have a drink, you want to enjoy it to the max, right?",103,auto-truncated,0
article,https://www.thethreedrinkers.com/magazine-content/glenmorangie-sonoma-cutrer-25-year-old-whisky-rare-limited-edition,glenmorangie-sonoma-cutrer-25-year-old-whisky-rare-limited-edition,Dr Bill Lumsden has done it again. Known to some as Head of Distilling & Whisky Creation at The Glenmorangie Company and to others as the ‘Willy Wonka of.,154,auto-truncated,0
article,https://www.thethreedrinkers.com/magazine-content/glenturret-2021-whisky-expressions,glenturret-2021-whisky-expressions,"Most brands in the whisky world have their regular expressions. They may start with a non-age statement whisky or two, then a 10 or 12-year-old, and then rise.",159,auto-truncated,0
article,https://www.thethreedrinkers.com/magazine-content/glenturret-rebrand-new-bottles-whisky-whiskey,glenturret-rebrand-new-bottles-whisky-whiskey,There is now a crystal clear direction for one of the oldest distilleries in Scotland.,86,auto-truncated,0
article,https://www.thethreedrinkers.com/magazine-content/great-drinks-gifts-fathers-day,great-drinks-gifts-fathers-day,"Father’s Day is nearly upon us and it’s highly unlikely he will genuinely want new pants and socks, or so we have been told!",124,auto-truncated,0
article,https://www.thethreedrinkers.com/magazine-content/great-gin-for-the-jubilee,great-gin-for-the-jubilee,"As the long bank holiday celebrating her Majesty's platinum jubilee rolls around, our thoughts turn to street parties and boozy celebrations.",141,auto-truncated,0
article,https://www.thethreedrinkers.com/magazine-content/great-gins-for-summer,great-gins-for-summer,"It’s finally that time of year when the birds wake you up in the morning instead of your alarm, the parks are full of sunbathers and picnics, and you’ve got.",157,auto-truncated,0
article,https://www.thethreedrinkers.com/magazine-content/great-scotch-whisky-alternatives-burns-night,great-scotch-whisky-alternatives-burns-night,"Burns Night is upon us once again, but not everyone feels the love of Scotch whisky (crazy, we know!) Here are some drinks with a nod to Scotch whisky without.",159,auto-truncated,0
article,https://www.thethreedrinkers.com/magazine-content/great-value-red-wines-for-christmas,great-value-red-wines-for-christmas,It’s fair to say that we really are spoiled for choice with wine in the supermarkets these days.,96,auto-truncated,0
article,https://www.thethreedrinkers.com/magazine-content/guide-to-albarino-wine-from-rias-baixas-best-wines,guide-to-albarino-wine-from-rias-baixas-best-wines,"The 1st August is Albariño Day! If you haven’t tried Albariño before, listen up as this is going to be your new, go-to, all rounder, white wine.",144,auto-truncated,0
article,https://www.thethreedrinkers.com/magazine-content/hamishs-famous-amaretto-crumble,hamishs-famous-amaretto-crumble,Who’s Hamish? He’s Helena’s husband who has been the perfect ‘housewife’ during lockdown and nailed the art of one particular pud: the Amaretto crumble!,152,auto-truncated,0
article,https://www.thethreedrinkers.com/magazine-content/havana-club-bar-entrepreneur-awards-ceremony,havana-club-bar-entrepreneur-awards-ceremony,"At 3DHQ, we’re super excited about this year’s Bar Entrepreneur Awards taking place on Monday 25th January, which celebrates the most dynamic and pioneering.",157,auto-truncated,0
article,https://www.thethreedrinkers.com/magazine-content/havana-club-bar-entrepreneur-awards-winners,havana-club-bar-entrepreneur-awards-winners,"Last week, we were excited to watch the winners being crowned at the 2020 Havana Club Bar Entrepreneur Awards;",110,auto-truncated,0
article,https://www.thethreedrinkers.com/magazine-content/helenas-choice-fine-wine-for-your-festive-meal-or-gifting,helenas-choice-fine-wine-for-your-festive-meal-or-gifting,We may be in an economic crisis but research is showing that people are choosing to spend a little more on their drinks this year instead of going out as it’s.,159,auto-truncated,0
